text_id,precision,recall,f1,partial_precision,partial_recall,partial_f1
0,0.25,0.3333333333333333,0.28571428571428575,0.5,0.9166666666666666,0.6470588235294118
1,1.0,1.0,1.0,1.0,1.0,1.0
2,0.75,0.75,0.75,0.75,1.0,0.8571428571428571
3,1.0,1.0,1.0,1.0,1.0,1.0
4,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571
5,1.0,1.0,1.0,1.0,1.0,1.0
6,0.8,0.6666666666666666,0.7272727272727272,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0
11,0.8,0.8,0.8000000000000002,1.0,1.0,1.0
12,0.4,0.5,0.4444444444444445,1.0,1.0,1.0
13,0.5,0.5,0.5,1.0,1.0,1.0
14,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9761904761904763,0.9761904761904762,0.9761904761904762
15,1.0,1.0,1.0,1.0,1.0,1.0
16,0.75,0.75,0.75,1.0,1.0,1.0
17,0.6,0.6,0.6,0.95,0.95,0.9500000000000001
18,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0
20,0.0,0.0,0.0,1.0,1.0,1.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.4583333333333333,0.6583333333333333,0.5404228855721392
23,0.0,0.0,0.0,0.5,0.7595959595959596,0.603047313552526
24,0.0,0.0,0.0,1.0,1.0,1.0
25,0.2,0.3333333333333333,0.25,0.8239316239316239,0.8717948717948718,0.8471877584780811
26,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0
28,0.5,0.6666666666666666,0.5714285714285715,0.9090909090909092,0.9696969696969697,0.9384164222873901
29,0.1,0.14285714285714285,0.11764705882352941,0.724981684981685,0.8288330716902145,0.7734368518542779
30,1.0,1.0,1.0,1.0,1.0,1.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
36,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091
