entity_type,batch,prompt,micro_f1,micro_precision,micro_recall,avg_latency_sec,precision_100,precision_70_99,precision_30_69,precision_0_29,recall_100,recall_70_99,recall_30_69,recall_0_29
multi,1c,p1,0.5173276913060899,0.5925247487034871,0.45911949685534587,1.7143230438232422,5.333333333333333,10.333333333333334,28.0,6.333333333333333,1.0,11.666666666666666,22.666666666666668,14.666666666666666
multi,1c,p2,0.5622488579232671,0.6520820449391879,0.4943396226415094,1.7080373271306355,7.0,10.0,29.333333333333332,3.6666666666666665,4.333333333333333,5.333333333333333,27.666666666666668,12.666666666666666
multi,1c,p3,0.5592540870180536,0.6525972700599567,0.4893081761006289,1.6479714600245157,8.333333333333334,7.666666666666667,29.333333333333332,4.666666666666667,3.0,7.666666666666667,27.0,12.333333333333334
multi,1c,p4,0.5498572802273657,0.614049523080082,0.49811320754716987,1.7418446493148803,7.666666666666667,11.0,28.333333333333332,3.0,3.0,8.666666666666666,28.0,10.333333333333334
multi,1c,p5,0.5670386783433891,0.6607104737334648,0.49685534591194963,1.664274336496989,11.0,5.0,31.666666666666668,2.3333333333333335,5.666666666666667,4.333333333333333,27.666666666666668,12.333333333333334
multi,2,p1,0.2525632072184883,0.2877721693511167,0.22504230118443316,1.8694065146976049,0.0,1.3333333333333333,22.666666666666668,27.0,1.0,1.0,15.0,34.0
multi,2,p2,0.3067184909738067,0.3308163747426682,0.2859560067681895,1.9768277414483961,0.6666666666666666,1.3333333333333333,27.333333333333332,21.666666666666668,1.6666666666666667,1.0,22.0,26.333333333333332
multi,2,p3,0.32959764251354506,0.3646306226834119,0.30118443316412863,1.906364560906404,2.6666666666666665,2.6666666666666665,24.333333333333332,21.333333333333332,2.6666666666666665,0.3333333333333333,21.0,27.0
multi,2,p4,0.3167348476034219,0.34517818652043414,0.29272419627749574,1.9696944414400586,2.0,1.3333333333333333,25.666666666666668,22.0,2.3333333333333335,1.0,21.333333333333332,26.333333333333332
multi,2,p5,0.32008177008177013,0.36091021231590026,0.2876480541455161,1.9339878216288449,1.3333333333333333,2.0,27.0,20.666666666666668,2.0,0.3333333333333333,22.666666666666668,26.0
multi,3,p1,0.17437595004287534,0.169329632234414,0.17985611510791366,1.789103144009908,0.0,0.0,14.666666666666666,35.333333333333336,1.6666666666666667,0.0,12.333333333333334,36.0
multi,3,p2,0.22073569442171,0.19235726955455149,0.2589928057553957,2.007921398480733,0.3333333333333333,0.3333333333333333,16.666666666666668,32.666666666666664,3.6666666666666665,0.3333333333333333,17.666666666666668,28.333333333333332
multi,3,p3,0.23568308706312954,0.20723389058467592,0.2733812949640288,1.9345980310440065,0.0,0.0,17.0,33.0,5.333333333333333,0.0,16.0,28.666666666666668
multi,3,p4,0.2316519116007607,0.19740840634493262,0.2805755395683453,1.9497251256306967,0.0,0.0,15.666666666666666,34.333333333333336,5.0,0.0,16.0,29.0
multi,3,p5,0.22659597509907425,0.1962359310169092,0.26858513189448446,2.052801650365194,0.0,0.6666666666666666,15.666666666666666,33.666666666666664,5.333333333333333,0.3333333333333333,15.333333333333334,29.0
single,1c,p1,0.5276532908372328,0.609704837786141,0.4652981427174976,1.3308438834022074,26.666666666666668,5.666666666666667,18.0,39.666666666666664,26.0,7.666666666666667,18.666666666666668,37.666666666666664
single,1c,p2,0.48925858755283924,0.5407490843867807,0.4467253176930596,1.2634355694639916,23.666666666666668,9.666666666666666,19.0,37.666666666666664,21.333333333333332,8.333333333333334,19.666666666666668,40.666666666666664
single,1c,p3,0.5438666666666667,0.6198859825620389,0.48484848484848486,1.2390464866862578,29.333333333333332,9.666666666666666,18.666666666666668,32.333333333333336,23.333333333333332,9.333333333333334,20.333333333333332,37.0
single,1c,p4,0.4904425294053536,0.5308063697412845,0.4565004887585533,1.7769944527569939,19.666666666666668,8.666666666666666,25.0,36.666666666666664,23.0,8.666666666666666,15.666666666666666,42.666666666666664
single,1c,p5,0.4384540671287572,0.5109195369490281,0.38416422287390023,1.8398470083872478,16.333333333333332,9.666666666666666,22.333333333333332,41.666666666666664,18.333333333333332,7.0,18.666666666666668,46.0
single,2,p1,0.27998776136838815,0.3440712736650841,0.23703703703703705,2.79675451446982,7.333333333333333,1.3333333333333333,21.666666666666668,59.666666666666664,7.0,1.6666666666666667,18.333333333333332,63.0
single,2,p2,0.3802552947940958,0.4023867287975607,0.3608465608465608,2.130234519173117,14.333333333333334,1.3333333333333333,24.333333333333332,50.0,16.0,4.333333333333333,13.0,56.666666666666664
single,2,p3,0.409428650773787,0.44305270609851366,0.38095238095238093,2.3151180360831467,18.0,2.0,19.0,51.0,17.0,3.6666666666666665,14.666666666666666,54.666666666666664
single,2,p4,0.3611001299063896,0.3849894173296347,0.34179894179894177,2.082192740720861,12.666666666666666,2.3333333333333335,22.333333333333332,52.666666666666664,12.666666666666666,3.6666666666666665,16.666666666666668,57.0
single,2,p5,0.3944875923861431,0.3935435456766551,0.39576719576719577,1.5230358815660665,14.333333333333334,1.3333333333333333,25.0,49.333333333333336,14.666666666666666,6.0,15.666666666666666,53.666666666666664
